Education_Level,Specialization,Skills,Interests,Recommended_Career,Career_Description
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Social Work,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Social Work."
M.Tech,Power Systems,Design Optimization,Helping People,Energy Analyst,M.Tech graduates specialized in Power Systems with skills in Design Optimization can build a career as a Energy Analyst. Suitable for those interested in Helping People.
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Management,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Management."
M.Ed,Education,Assessment Design,Design,Academic Coordinator,M.Ed graduates specialized in Education with skills in Assessment Design can build a career as a Academic Coordinator. Suitable for those interested in Design.
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Teaching,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Teaching."
M.Sc,Chemistry,Scientific Writing,Helping People,Research Scientist,M.Sc graduates specialized in Chemistry with skills in Scientific Writing can build a career as a Research Scientist. Suitable for those interested in Helping People.
MA,Sociology,"Content Writing, Research",Technology,Editor,"MA graduates specialized in Sociology with skills in Content Writing, Research can build a career as a Editor. Suitable for those interested in Technology."
12th,Humanities,"Basic Accounting, Data Entry",Teaching,Receptionist,"12th graduates specialized in Humanities with skills in Basic Accounting, Data Entry can build a career as a Receptionist. Suitable for those interested in Teaching."
12th,Commerce,"Typing, Customer Handling",Design,Customer Support Executive,"12th graduates specialized in Commerce with skills in Typing, Customer Handling can build a career as a Customer Support Executive. Suitable for those interested in Design."
Diploma,Civil,"Maintenance, Troubleshooting",Business,Junior Engineer,"Diploma graduates specialized in Civil with skills in Maintenance, Troubleshooting can build a career as a Junior Engineer. Suitable for those interested in Business."
MCA,Information Systems,"Programming, AI, Cloud",Management,Software Architect,"MCA graduates specialized in Information Systems with skills in Programming, AI, Cloud can build a career as a Software Architect. Suitable for those interested in Management."
B.Com,Finance,"Communication, Tax Filing",Management,Accountant,"B.Com graduates specialized in Finance with skills in Communication, Tax Filing can build a career as a Accountant. Suitable for those interested in Management."
BA,Political Science,"Research, Public Speaking",Research,Writer,"BA graduates specialized in Political Science with skills in Research, Public Speaking can build a career as a Writer. Suitable for those interested in Research."
BCA,Computer Applications,"Python, Web Development, Databases",Technology,Web Developer,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a Web Developer. Suitable for those interested in Technology."
BBA,Management,Communication,Technology,Sales Executive,BBA graduates specialized in Management with skills in Communication can build a career as a Sales Executive. Suitable for those interested in Technology.
PhD,Science,"Research, Data Analysis, Publication",Management,Professor,"PhD graduates specialized in Science with skills in Research, Data Analysis, Publication can build a career as a Professor. Suitable for those interested in Management."
BBA,Finance,"Team Management, Excel",Research,Sales Executive,"BBA graduates specialized in Finance with skills in Team Management, Excel can build a career as a Sales Executive. Suitable for those interested in Research."
B.Sc,Physics,"Observation, Recording",Management,Data Analyst,"B.Sc graduates specialized in Physics with skills in Observation, Recording can build a career as a Data Analyst. Suitable for those interested in Management."
BCA,Computer Applications,"Python, Web Development, Databases",Design,Software Developer,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a Software Developer. Suitable for those interested in Design."
BA,Political Science,"Writing, Communication",Teaching,Teacher,"BA graduates specialized in Political Science with skills in Writing, Communication can build a career as a Teacher. Suitable for those interested in Teaching."
Diploma,Civil,"AutoCAD, Project Work",Design,Technician,"Diploma graduates specialized in Civil with skills in AutoCAD, Project Work can build a career as a Technician. Suitable for those interested in Design."
MCA,Information Systems,"Programming, AI, Cloud",Design,Data Scientist,"MCA graduates specialized in Information Systems with skills in Programming, AI, Cloud can build a career as a Data Scientist. Suitable for those interested in Design."
M.Tech,Computer Science,"AI, Simulation, MATLAB",Design,Energy Analyst,"M.Tech graduates specialized in Computer Science with skills in AI, Simulation, MATLAB can build a career as a Energy Analyst. Suitable for those interested in Design."
BBA,Finance,Communication,Business,Assistant Manager,BBA graduates specialized in Finance with skills in Communication can build a career as a Assistant Manager. Suitable for those interested in Business.
Diploma,Computer Applications,Basic Programming,Creativity,Technician,Diploma graduates specialized in Computer Applications with skills in Basic Programming can build a career as a Technician. Suitable for those interested in Creativity.
BA,History,"Research, Public Speaking",Teaching,Teacher,"BA graduates specialized in History with skills in Research, Public Speaking can build a career as a Teacher. Suitable for those interested in Teaching."
B.Des,Animation,"Photoshop, Creativity, Branding",Teaching,Fashion Designer,"B.Des graduates specialized in Animation with skills in Photoshop, Creativity, Branding can build a career as a Fashion Designer. Suitable for those interested in Teaching."
M.Sc,Chemistry,"Research, Data Collection",Creativity,Research Scientist,"M.Sc graduates specialized in Chemistry with skills in Research, Data Collection can build a career as a Research Scientist. Suitable for those interested in Creativity."
MCA,Computer Science,"Programming, AI, Cloud",Teaching,Data Scientist,"MCA graduates specialized in Computer Science with skills in Programming, AI, Cloud can build a career as a Data Scientist. Suitable for those interested in Teaching."
Diploma,Civil,"AutoCAD, Project Work",Business,AutoCAD Designer,"Diploma graduates specialized in Civil with skills in AutoCAD, Project Work can build a career as a AutoCAD Designer. Suitable for those interested in Business."
B.Ed,English,"Teaching, Curriculum Design",Social Work,Teacher,"B.Ed graduates specialized in English with skills in Teaching, Curriculum Design can build a career as a Teacher. Suitable for those interested in Social Work."
12th,Commerce,"Typing, Customer Handling",Management,Receptionist,"12th graduates specialized in Commerce with skills in Typing, Customer Handling can build a career as a Receptionist. Suitable for those interested in Management."
PhD,Education,"Research, Data Analysis, Publication",Healthcare,Professor,"PhD graduates specialized in Education with skills in Research, Data Analysis, Publication can build a career as a Professor. Suitable for those interested in Healthcare."
B.Sc,Physics,"Research, Lab Work",Management,Lab Technician,"B.Sc graduates specialized in Physics with skills in Research, Lab Work can build a career as a Lab Technician. Suitable for those interested in Management."
M.Ed,Education,"Educational Planning, Management",Teaching,Principal,"M.Ed graduates specialized in Education with skills in Educational Planning, Management can build a career as a Principal. Suitable for those interested in Teaching."
M.Tech,Power Systems,"Power Analysis, Python",Creativity,Design Engineer,"M.Tech graduates specialized in Power Systems with skills in Power Analysis, Python can build a career as a Design Engineer. Suitable for those interested in Creativity."
BA,English,"Writing, Communication",Healthcare,Writer,"BA graduates specialized in English with skills in Writing, Communication can build a career as a Writer. Suitable for those interested in Healthcare."
BCA,Computer Applications,"Python, Web Development, Databases",Research,Web Developer,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a Web Developer. Suitable for those interested in Research."
MA,Sociology,"Teaching, Communication",Technology,Content Writer,"MA graduates specialized in Sociology with skills in Teaching, Communication can build a career as a Content Writer. Suitable for those interested in Technology."
12th,Science,"Excel, Communication",Helping People,Junior Assistant,"12th graduates specialized in Science with skills in Excel, Communication can build a career as a Junior Assistant. Suitable for those interested in Helping People."
BBA,Finance,Communication,Design,Business Analyst,BBA graduates specialized in Finance with skills in Communication can build a career as a Business Analyst. Suitable for those interested in Design.
B.Com,Banking,"Communication, Tax Filing",Healthcare,Auditor,"B.Com graduates specialized in Banking with skills in Communication, Tax Filing can build a career as a Auditor. Suitable for those interested in Healthcare."
10th,General Studies,"Customer Service, Teamwork",Technology,Data Entry Operator,"10th graduates specialized in General Studies with skills in Customer Service, Teamwork can build a career as a Data Entry Operator. Suitable for those interested in Technology."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Technology,Surgeon,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Surgeon. Suitable for those interested in Technology."
B.Tech,Electrical,"Machine Learning, AutoCAD",Healthcare,Electrical Engineer,"B.Tech graduates specialized in Electrical with skills in Machine Learning, AutoCAD can build a career as a Electrical Engineer. Suitable for those interested in Healthcare."
BBA,Management,"Team Management, Excel",Business,Assistant Manager,"BBA graduates specialized in Management with skills in Team Management, Excel can build a career as a Assistant Manager. Suitable for those interested in Business."
12th,Science,"Typing, Customer Handling",Research,Receptionist,"12th graduates specialized in Science with skills in Typing, Customer Handling can build a career as a Receptionist. Suitable for those interested in Research."
MCA,Information Systems,"Programming, AI, Cloud",Business,Data Scientist,"MCA graduates specialized in Information Systems with skills in Programming, AI, Cloud can build a career as a Data Scientist. Suitable for those interested in Business."
MA,English,"Teaching, Communication",Healthcare,Content Writer,"MA graduates specialized in English with skills in Teaching, Communication can build a career as a Content Writer. Suitable for those interested in Healthcare."
BCA,Computer Applications,"Python, Web Development, Databases",Design,System Analyst,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a System Analyst. Suitable for those interested in Design."
BBA,Management,"Team Management, Excel",Technology,Business Analyst,"BBA graduates specialized in Management with skills in Team Management, Excel can build a career as a Business Analyst. Suitable for those interested in Technology."
B.Des,Animation,"Photoshop, Creativity, Branding",Design,Fashion Designer,"B.Des graduates specialized in Animation with skills in Photoshop, Creativity, Branding can build a career as a Fashion Designer. Suitable for those interested in Design."
Diploma,Computer Applications,"Maintenance, Troubleshooting",Healthcare,AutoCAD Designer,"Diploma graduates specialized in Computer Applications with skills in Maintenance, Troubleshooting can build a career as a AutoCAD Designer. Suitable for those interested in Healthcare."
BBA,Marketing,"Sales, Negotiation",Business,Business Analyst,"BBA graduates specialized in Marketing with skills in Sales, Negotiation can build a career as a Business Analyst. Suitable for those interested in Business."
PhD,Education,"Research, Data Analysis, Publication",Research,Professor,"PhD graduates specialized in Education with skills in Research, Data Analysis, Publication can build a career as a Professor. Suitable for those interested in Research."
12th,Humanities,"Basic Accounting, Data Entry",Creativity,Junior Assistant,"12th graduates specialized in Humanities with skills in Basic Accounting, Data Entry can build a career as a Junior Assistant. Suitable for those interested in Creativity."
12th,Science,"Excel, Communication",Teaching,Receptionist,"12th graduates specialized in Science with skills in Excel, Communication can build a career as a Receptionist. Suitable for those interested in Teaching."
B.Com,Banking,"Communication, Tax Filing",Healthcare,Auditor,"B.Com graduates specialized in Banking with skills in Communication, Tax Filing can build a career as a Auditor. Suitable for those interested in Healthcare."
M.Com,Finance,"Budgeting, Reporting",Management,Auditor,"M.Com graduates specialized in Finance with skills in Budgeting, Reporting can build a career as a Auditor. Suitable for those interested in Management."
B.Des,Animation,"Sketching, Visualization",Creativity,Graphic Designer,"B.Des graduates specialized in Animation with skills in Sketching, Visualization can build a career as a Graphic Designer. Suitable for those interested in Creativity."
B.Ed,English,Student Mentoring,Management,Tutor,B.Ed graduates specialized in English with skills in Student Mentoring can build a career as a Tutor. Suitable for those interested in Management.
MCA,Information Systems,"Programming, AI, Cloud",Social Work,Data Scientist,"MCA graduates specialized in Information Systems with skills in Programming, AI, Cloud can build a career as a Data Scientist. Suitable for those interested in Social Work."
BBA,Management,"Sales, Negotiation",Helping People,Assistant Manager,"BBA graduates specialized in Management with skills in Sales, Negotiation can build a career as a Assistant Manager. Suitable for those interested in Helping People."
M.Ed,Education,"Educational Planning, Management",Business,Principal,"M.Ed graduates specialized in Education with skills in Educational Planning, Management can build a career as a Principal. Suitable for those interested in Business."
10th,General Studies,"Basic Computer, Communication",Healthcare,Sales Assistant,"10th graduates specialized in General Studies with skills in Basic Computer, Communication can build a career as a Sales Assistant. Suitable for those interested in Healthcare."
PhD,Social Science,"Research, Data Analysis, Publication",Design,Research Scientist,"PhD graduates specialized in Social Science with skills in Research, Data Analysis, Publication can build a career as a Research Scientist. Suitable for those interested in Design."
10th,Commerce,"Customer Service, Teamwork",Teaching,Sales Assistant,"10th graduates specialized in Commerce with skills in Customer Service, Teamwork can build a career as a Sales Assistant. Suitable for those interested in Teaching."
MCA,Information Systems,"Database Design, Python",Business,Software Architect,"MCA graduates specialized in Information Systems with skills in Database Design, Python can build a career as a Software Architect. Suitable for those interested in Business."
10th,Science,"Customer Service, Teamwork",Teaching,Clerk,"10th graduates specialized in Science with skills in Customer Service, Teamwork can build a career as a Clerk. Suitable for those interested in Teaching."
M.Com,Finance,"Budgeting, Reporting",Creativity,Finance Manager,"M.Com graduates specialized in Finance with skills in Budgeting, Reporting can build a career as a Finance Manager. Suitable for those interested in Creativity."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Social Work,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Social Work."
10th,General Studies,"Typing, Office Work",Social Work,Sales Assistant,"10th graduates specialized in General Studies with skills in Typing, Office Work can build a career as a Sales Assistant. Suitable for those interested in Social Work."
MCA,Computer Science,"Database Design, Python",Healthcare,AI Engineer,"MCA graduates specialized in Computer Science with skills in Database Design, Python can build a career as a AI Engineer. Suitable for those interested in Healthcare."
10th,General Studies,"Customer Service, Teamwork",Business,Sales Assistant,"10th graduates specialized in General Studies with skills in Customer Service, Teamwork can build a career as a Sales Assistant. Suitable for those interested in Business."
MA,English,"Content Writing, Research",Technology,Lecturer,"MA graduates specialized in English with skills in Content Writing, Research can build a career as a Lecturer. Suitable for those interested in Technology."
PhD,Engineering,"Research, Data Analysis, Publication",Healthcare,Professor,"PhD graduates specialized in Engineering with skills in Research, Data Analysis, Publication can build a career as a Professor. Suitable for those interested in Healthcare."
M.Sc,Mathematics,"Analysis, Experimentation",Teaching,Lecturer,"M.Sc graduates specialized in Mathematics with skills in Analysis, Experimentation can build a career as a Lecturer. Suitable for those interested in Teaching."
12th,Science,"Excel, Communication",Management,Receptionist,"12th graduates specialized in Science with skills in Excel, Communication can build a career as a Receptionist. Suitable for those interested in Management."
BA,Sociology,"Writing, Communication",Research,Teacher,"BA graduates specialized in Sociology with skills in Writing, Communication can build a career as a Teacher. Suitable for those interested in Research."
B.Com,Accounting,"Data Entry, Business Analytics",Technology,Auditor,"B.Com graduates specialized in Accounting with skills in Data Entry, Business Analytics can build a career as a Auditor. Suitable for those interested in Technology."
M.Com,Accounting,Tax Management,Healthcare,Finance Manager,M.Com graduates specialized in Accounting with skills in Tax Management can build a career as a Finance Manager. Suitable for those interested in Healthcare.
12th,Science,"Basic Accounting, Data Entry",Social Work,Receptionist,"12th graduates specialized in Science with skills in Basic Accounting, Data Entry can build a career as a Receptionist. Suitable for those interested in Social Work."
MA,Education,"Content Writing, Research",Creativity,Content Writer,"MA graduates specialized in Education with skills in Content Writing, Research can build a career as a Content Writer. Suitable for those interested in Creativity."
Diploma,Civil,"Electrical Wiring, CAD",Research,AutoCAD Designer,"Diploma graduates specialized in Civil with skills in Electrical Wiring, CAD can build a career as a AutoCAD Designer. Suitable for those interested in Research."
MCA,Computer Science,"Programming, AI, Cloud",Design,Software Architect,"MCA graduates specialized in Computer Science with skills in Programming, AI, Cloud can build a career as a Software Architect. Suitable for those interested in Design."
M.Com,Taxation,Tax Management,Research,Finance Manager,M.Com graduates specialized in Taxation with skills in Tax Management can build a career as a Finance Manager. Suitable for those interested in Research.
M.Tech,Electronics,"Power Analysis, Python",Teaching,Energy Analyst,"M.Tech graduates specialized in Electronics with skills in Power Analysis, Python can build a career as a Energy Analyst. Suitable for those interested in Teaching."
MA,History,"Content Writing, Research",Technology,Editor,"MA graduates specialized in History with skills in Content Writing, Research can build a career as a Editor. Suitable for those interested in Technology."
B.Sc,Biology,"Research, Lab Work",Helping People,Data Analyst,"B.Sc graduates specialized in Biology with skills in Research, Lab Work can build a career as a Data Analyst. Suitable for those interested in Helping People."
BCA,Computer Applications,"Python, Web Development, Databases",Social Work,System Analyst,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a System Analyst. Suitable for those interested in Social Work."
B.Com,Banking,"Data Entry, Business Analytics",Social Work,Auditor,"B.Com graduates specialized in Banking with skills in Data Entry, Business Analytics can build a career as a Auditor. Suitable for those interested in Social Work."
B.Tech,Electrical,"PLC, PSCAD, Design",Research,Mechanical Engineer,"B.Tech graduates specialized in Electrical with skills in PLC, PSCAD, Design can build a career as a Mechanical Engineer. Suitable for those interested in Research."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Business,Surgeon,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Surgeon. Suitable for those interested in Business."
M.Tech,Structural Engineering,"Power Analysis, Python",Creativity,Design Engineer,"M.Tech graduates specialized in Structural Engineering with skills in Power Analysis, Python can build a career as a Design Engineer. Suitable for those interested in Creativity."
B.Sc,Biology,"Research, Lab Work",Technology,Research Assistant,"B.Sc graduates specialized in Biology with skills in Research, Lab Work can build a career as a Research Assistant. Suitable for those interested in Technology."
Diploma,Electrical,"AutoCAD, Project Work",Technology,Technician,"Diploma graduates specialized in Electrical with skills in AutoCAD, Project Work can build a career as a Technician. Suitable for those interested in Technology."
12th,Commerce,"Basic Accounting, Data Entry",Technology,Receptionist,"12th graduates specialized in Commerce with skills in Basic Accounting, Data Entry can build a career as a Receptionist. Suitable for those interested in Technology."
BBA,Marketing,"Sales, Negotiation",Social Work,Sales Executive,"BBA graduates specialized in Marketing with skills in Sales, Negotiation can build a career as a Sales Executive. Suitable for those interested in Social Work."
M.Tech,Electronics,"AI, Simulation, MATLAB",Teaching,Design Engineer,"M.Tech graduates specialized in Electronics with skills in AI, Simulation, MATLAB can build a career as a Design Engineer. Suitable for those interested in Teaching."
B.Ed,Education,"Teaching, Curriculum Design",Management,Teacher,"B.Ed graduates specialized in Education with skills in Teaching, Curriculum Design can build a career as a Teacher. Suitable for those interested in Management."
Diploma,Mechanical,Basic Programming,Helping People,AutoCAD Designer,Diploma graduates specialized in Mechanical with skills in Basic Programming can build a career as a AutoCAD Designer. Suitable for those interested in Helping People.
BBA,Marketing,"Sales, Negotiation",Research,Sales Executive,"BBA graduates specialized in Marketing with skills in Sales, Negotiation can build a career as a Sales Executive. Suitable for those interested in Research."
MA,Education,"Content Writing, Research",Technology,Editor,"MA graduates specialized in Education with skills in Content Writing, Research can build a career as a Editor. Suitable for those interested in Technology."
B.Com,Finance,"Communication, Tax Filing",Teaching,Financial Analyst,"B.Com graduates specialized in Finance with skills in Communication, Tax Filing can build a career as a Financial Analyst. Suitable for those interested in Teaching."
Diploma,Electrical,"Electrical Wiring, CAD",Management,Technician,"Diploma graduates specialized in Electrical with skills in Electrical Wiring, CAD can build a career as a Technician. Suitable for those interested in Management."
M.Com,Accounting,Tax Management,Technology,Senior Accountant,M.Com graduates specialized in Accounting with skills in Tax Management can build a career as a Senior Accountant. Suitable for those interested in Technology.
Diploma,Computer Applications,Basic Programming,Design,Junior Engineer,Diploma graduates specialized in Computer Applications with skills in Basic Programming can build a career as a Junior Engineer. Suitable for those interested in Design.
MBA,Operations,"Leadership, Strategy, Analytics",Design,Manager,"MBA graduates specialized in Operations with skills in Leadership, Strategy, Analytics can build a career as a Manager. Suitable for those interested in Design."
10th,General Studies,"Typing, Office Work",Creativity,Sales Assistant,"10th graduates specialized in General Studies with skills in Typing, Office Work can build a career as a Sales Assistant. Suitable for those interested in Creativity."
Diploma,Civil,Basic Programming,Technology,AutoCAD Designer,Diploma graduates specialized in Civil with skills in Basic Programming can build a career as a AutoCAD Designer. Suitable for those interested in Technology.
PhD,Engineering,"Research, Data Analysis, Publication",Design,Professor,"PhD graduates specialized in Engineering with skills in Research, Data Analysis, Publication can build a career as a Professor. Suitable for those interested in Design."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Research,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Research."
M.Sc,Biology,Scientific Writing,Management,Research Scientist,M.Sc graduates specialized in Biology with skills in Scientific Writing can build a career as a Research Scientist. Suitable for those interested in Management.
B.Des,Graphic Design,"Photoshop, Creativity, Branding",Creativity,Animator,"B.Des graduates specialized in Graphic Design with skills in Photoshop, Creativity, Branding can build a career as a Animator. Suitable for those interested in Creativity."
MCA,Computer Science,"Database Design, Python",Helping People,Data Scientist,"MCA graduates specialized in Computer Science with skills in Database Design, Python can build a career as a Data Scientist. Suitable for those interested in Helping People."
MA,Education,"Content Writing, Research",Research,Lecturer,"MA graduates specialized in Education with skills in Content Writing, Research can build a career as a Lecturer. Suitable for those interested in Research."
BCA,Computer Applications,"Python, Web Development, Databases",Business,System Analyst,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a System Analyst. Suitable for those interested in Business."
B.Ed,English,"Teaching, Curriculum Design",Teaching,School Coordinator,"B.Ed graduates specialized in English with skills in Teaching, Curriculum Design can build a career as a School Coordinator. Suitable for those interested in Teaching."
BCA,Computer Applications,"Python, Web Development, Databases",Healthcare,Web Developer,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a Web Developer. Suitable for those interested in Healthcare."
MA,History,"Teaching, Communication",Healthcare,Lecturer,"MA graduates specialized in History with skills in Teaching, Communication can build a career as a Lecturer. Suitable for those interested in Healthcare."
M.Tech,Structural Engineering,Design Optimization,Helping People,AI Engineer,M.Tech graduates specialized in Structural Engineering with skills in Design Optimization can build a career as a AI Engineer. Suitable for those interested in Helping People.
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Creativity,Surgeon,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Surgeon. Suitable for those interested in Creativity."
MA,History,"Content Writing, Research",Business,Content Writer,"MA graduates specialized in History with skills in Content Writing, Research can build a career as a Content Writer. Suitable for those interested in Business."
12th,Humanities,"Basic Accounting, Data Entry",Technology,Junior Assistant,"12th graduates specialized in Humanities with skills in Basic Accounting, Data Entry can build a career as a Junior Assistant. Suitable for those interested in Technology."
12th,Humanities,"Basic Accounting, Data Entry",Business,Junior Assistant,"12th graduates specialized in Humanities with skills in Basic Accounting, Data Entry can build a career as a Junior Assistant. Suitable for those interested in Business."
B.Ed,English,Student Mentoring,Social Work,Teacher,B.Ed graduates specialized in English with skills in Student Mentoring can build a career as a Teacher. Suitable for those interested in Social Work.
BCA,Computer Applications,"Python, Web Development, Databases",Business,Web Developer,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a Web Developer. Suitable for those interested in Business."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Healthcare,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Healthcare."
M.Ed,Education,"Educational Planning, Management",Technology,Lecturer,"M.Ed graduates specialized in Education with skills in Educational Planning, Management can build a career as a Lecturer. Suitable for those interested in Technology."
M.Ed,Administration,Assessment Design,Social Work,Lecturer,M.Ed graduates specialized in Administration with skills in Assessment Design can build a career as a Lecturer. Suitable for those interested in Social Work.
BA,History,"Writing, Communication",Teaching,Journalist,"BA graduates specialized in History with skills in Writing, Communication can build a career as a Journalist. Suitable for those interested in Teaching."
B.Sc,Physics,"Observation, Recording",Healthcare,Lab Technician,"B.Sc graduates specialized in Physics with skills in Observation, Recording can build a career as a Lab Technician. Suitable for those interested in Healthcare."
B.Com,Accounting,"Data Entry, Business Analytics",Management,Auditor,"B.Com graduates specialized in Accounting with skills in Data Entry, Business Analytics can build a career as a Auditor. Suitable for those interested in Management."
Diploma,Civil,"AutoCAD, Project Work",Design,Junior Engineer,"Diploma graduates specialized in Civil with skills in AutoCAD, Project Work can build a career as a Junior Engineer. Suitable for those interested in Design."
12th,Commerce,"Excel, Communication",Design,Junior Assistant,"12th graduates specialized in Commerce with skills in Excel, Communication can build a career as a Junior Assistant. Suitable for those interested in Design."
Diploma,Mechanical,Basic Programming,Healthcare,Junior Engineer,Diploma graduates specialized in Mechanical with skills in Basic Programming can build a career as a Junior Engineer. Suitable for those interested in Healthcare.
M.Tech,Electronics,Design Optimization,Social Work,Energy Analyst,M.Tech graduates specialized in Electronics with skills in Design Optimization can build a career as a Energy Analyst. Suitable for those interested in Social Work.
B.Tech,Mechanical,"Python, MATLAB, CAD",Social Work,Civil Engineer,"B.Tech graduates specialized in Mechanical with skills in Python, MATLAB, CAD can build a career as a Civil Engineer. Suitable for those interested in Social Work."
B.Sc,Chemistry,"Data Analysis, Experimentation",Social Work,Data Analyst,"B.Sc graduates specialized in Chemistry with skills in Data Analysis, Experimentation can build a career as a Data Analyst. Suitable for those interested in Social Work."
BA,History,"Writing, Communication",Helping People,Teacher,"BA graduates specialized in History with skills in Writing, Communication can build a career as a Teacher. Suitable for those interested in Helping People."
B.Des,Fashion,"Sketching, Visualization",Healthcare,Fashion Designer,"B.Des graduates specialized in Fashion with skills in Sketching, Visualization can build a career as a Fashion Designer. Suitable for those interested in Healthcare."
B.Ed,Mathematics,"Teaching, Curriculum Design",Teaching,School Coordinator,"B.Ed graduates specialized in Mathematics with skills in Teaching, Curriculum Design can build a career as a School Coordinator. Suitable for those interested in Teaching."
M.Sc,Chemistry,"Research, Data Collection",Research,Research Scientist,"M.Sc graduates specialized in Chemistry with skills in Research, Data Collection can build a career as a Research Scientist. Suitable for those interested in Research."
M.Sc,Chemistry,Scientific Writing,Social Work,Lecturer,M.Sc graduates specialized in Chemistry with skills in Scientific Writing can build a career as a Lecturer. Suitable for those interested in Social Work.
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Social Work,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Social Work."
Diploma,Mechanical,"Maintenance, Troubleshooting",Technology,Technician,"Diploma graduates specialized in Mechanical with skills in Maintenance, Troubleshooting can build a career as a Technician. Suitable for those interested in Technology."
M.Com,Accounting,"Advanced Excel, GST",Technology,Finance Manager,"M.Com graduates specialized in Accounting with skills in Advanced Excel, GST can build a career as a Finance Manager. Suitable for those interested in Technology."
MBBS,Medicine,"Diagnosis, Surgery, Patient Care",Teaching,Doctor,"MBBS graduates specialized in Medicine with skills in Diagnosis, Surgery, Patient Care can build a career as a Doctor. Suitable for those interested in Teaching."
M.Com,Taxation,"Advanced Excel, GST",Research,Finance Manager,"M.Com graduates specialized in Taxation with skills in Advanced Excel, GST can build a career as a Finance Manager. Suitable for those interested in Research."
B.Ed,Education,"Teaching, Curriculum Design",Social Work,Teacher,"B.Ed graduates specialized in Education with skills in Teaching, Curriculum Design can build a career as a Teacher. Suitable for those interested in Social Work."
BBA,Management,Communication,Business,Sales Executive,BBA graduates specialized in Management with skills in Communication can build a career as a Sales Executive. Suitable for those interested in Business.
B.Com,Banking,"Data Entry, Business Analytics",Social Work,Auditor,"B.Com graduates specialized in Banking with skills in Data Entry, Business Analytics can build a career as a Auditor. Suitable for those interested in Social Work."
B.Sc,Chemistry,"Observation, Recording",Healthcare,Research Assistant,"B.Sc graduates specialized in Chemistry with skills in Observation, Recording can build a career as a Research Assistant. Suitable for those interested in Healthcare."
B.Sc,Mathematics,"Observation, Recording",Management,Data Analyst,"B.Sc graduates specialized in Mathematics with skills in Observation, Recording can build a career as a Data Analyst. Suitable for those interested in Management."
B.Ed,English,Student Mentoring,Design,Tutor,B.Ed graduates specialized in English with skills in Student Mentoring can build a career as a Tutor. Suitable for those interested in Design.
BCA,Computer Applications,"Python, Web Development, Databases",Helping People,System Analyst,"BCA graduates specialized in Computer Applications with skills in Python, Web Development, Databases can build a career as a System Analyst. Suitable for those interested in Helping People."
M.Sc,Mathematics,"Research, Data Collection",Technology,Lecturer,"M.Sc graduates specialized in Mathematics with skills in Research, Data Collection can build a career as a Lecturer. Suitable for those interested in Technology."
M.Ed,Administration,Assessment Design,Healthcare,Academic Coordinator,M.Ed graduates specialized in Administration with skills in Assessment Design can build a career as a Academic Coordinator. Suitable for those interested in Healthcare.
BBA,Finance,Communication,Creativity,Business Analyst,BBA graduates specialized in Finance with skills in Communication can build a career as a Business Analyst. Suitable for those interested in Creativity.
B.Com,Finance,"Tally, Excel, GST",Technology,Auditor,"B.Com graduates specialized in Finance with skills in Tally, Excel, GST can build a career as a Auditor. Suitable for those interested in Technology."
